0,1
1.63068784490146e-06_2.72503669391238_9.94643853982061,-11259.44450709858
1.63068784490146e-06_2.72503669391238_9.94643853982061,-11258.831703659267
1.66795962024224e-05_2.82416821699624_9.95173617695636,-11259.160893821234
1.66795962024224e-05_2.82416821699624_9.95173617695636,-11258.726170765847
1.68374955504705e-05_2.3309479390325_9.86158496928668,-11258.550555888822
1.68374955504705e-05_2.3309479390325_9.86158496928668,-11259.069864027195
1.71014105493497e-05_2.39341805578516_9.83470075404398,-11259.516982603478
1.71014105493497e-05_2.39341805578516_9.83470075404398,-11259.043641271746
1.73704420870091e-06_2.61809677592269_9.98220976024311,-11258.27597480504
1.73704420870091e-06_2.61809677592269_9.98220976024311,-11258.494977004599
1.75242151457453e-05_2.48801924582946_9.76677132375087,-11258.809966006796
1.75242151457453e-05_2.48801924582946_9.76677132375087,-11259.231075784843
1.84717962665393e-06_2.70585644954527_9.70059278301959,-11259.605548890222
1.84717962665393e-06_2.70585644954527_9.70059278301959,-11258.969236152769
1.85200793237033e-07_2.81671552656637_9.99508679489032,-11259.605548890222
1.85200793237033e-07_2.81671552656637_9.99508679489032,-11258.969236152769
1.87313548980227e-06_2.2322875140311_9.93389674015959,-11259.605548890222
1.87313548980227e-06_2.2322875140311_9.93389674015959,-11258.969236152769
2.08425752349945e-05_2.53293227804691_9.87608570178602,-11260.402581483704
2.08425752349945e-05_2.53293227804691_9.87608570178602,-11258.496906618677
2.20106594412628e-08_2.52114184073173_9.86633978005883,-11259.712989402118
2.20106594412628e-08_2.52114184073173_9.86633978005883,-11258.061349730055
2.20485584760514e-07_2.27323110296614_9.65511593830289,-11258.660003999199
2.20485584760514e-07_2.27323110296614_9.65511593830289,-11259.399332133573
2.20519079162153e-06_2.50187656934485_9.90609956143128,-11258.482033593282
2.20519079162153e-06_2.50187656934485_9.90609956143128,-11259.265578884222
2.20980411280133e-06_2.56938851808037_9.91389902682848,-11258.296384723055
2.20980411280133e-06_2.56938851808037_9.91389902682848,-11259.666874625074
2.24340203717309e-06_2.43224391297495_9.93717443073487,-11258.251457708458
2.24340203717309e-06_2.43224391297495_9.93717443073487,-11259.17326134773
2.24531128818644e-06_2.687724768658_9.92218270155928,-11258.324919016197
2.24531128818644e-06_2.687724768658_9.92218270155928,-11258.586376724656
2.33057585293515e-05_2.44395552327688_9.95568621022872,-11258.50523895221
2.33057585293515e-05_2.44395552327688_9.95568621022872,-11260.494331133774
2.3962302224072e-06_2.47250572629383_9.93954897394157,-11258.534357128576
2.3962302224072e-06_2.47250572629383_9.93954897394157,-11258.92627474505
